Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
K208_PR001_CD3	tumour_immune	tumour_immune	Image	Geometry	3946.7	7376.3	110506	102823	7683	6.953	325.53	23601159.6	30928.6
K208_PR001_CD3	aggregates	aggregates	Image	Geometry	3946.7	7376.3	110506	102823	7683	6.953	325.53	23601159.6	30928.6
K208_PR001_CD3	Normal kidney	Normal kidney	Image	Geometry	4339.7	3718	37576	30826	6750	17.96	646.87	10434915	29605.6
K208_PR001_CD3	peri-tumoural_immune	peri-tumoural_immune	Normal kidney	Geometry	3754.5	5268.8	14282	11989	2293	16.06	468.78	4891460.7	24982.7
K208_PR001_CD3	Tissue_area	Tissue_area	Image	Polygon	4067.2	6254.7	148082	133649	14433	9.747	424.05	34036074.6	33747.5
K208_PR002_CD3	tumour_immune	tumour_immune	Image	Geometry	3820.9	2616.8	75108	66460	8648	11.51	396.42	21815278.3	24998
K208_PR002_CD3	Non-tumour tissue	Non-tumour tissue	Image	Geometry	2407.8	4606.1	11456	9187	2269	19.81	401.44	5652212.6	17613.4
K208_PR002_CD3	peri-tumoural_immune	peri-tumoural_immune	Non-tumour tissue	Geometry	2293	4256.4	7666	6042	1624	21.18	500.75	3243132.2	15608.3
K208_PR002_CD3	aggregates	aggregates	Image	Geometry	3820.9	2616.8	75108	66460	8648	11.51	396.42	21815278.3	24998
K208_PR002_CD3	Tissue_area	Tissue_area	Image	Geometry	3530.1	3026.1	86564	75647	10917	12.61	397.45	27467491	27435.7
K208_PR004_CD3	tumour_immune	tumour_immune	Image	Geometry	4935	8978.5	179736	148736	31000	17.25	680.94	45525377.5	86591.8
K208_PR004_CD3	Fibrosis	Fibrosis	Image	Geometry	8894	3361	25362	20457	4905	19.34	254.52	19271946	39841.6
K208_PR004_CD3	peri-tumoural_immune	peri-tumoural_immune	Fibrosis	Geometry	9192	5925.7	3519	2582	937	26.63	418.67	2238039.9	16303.3
K208_PR004_CD3	aggregates	aggregates	Image	Geometry	4935	8978.5	179736	148736	31000	17.25	680.94	45525377.5	86591.8
K208_PR004_CD3	Tissue_area	Tissue_area	Image	Geometry	6112.5	7307.8	205098	169193	35905	17.51	554.11	64797323.5	112823.3
