Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
K379_PR013_CD3	Tissue_area	Tissue_area	Image	Polygon	2370.9	1984.8	107670	104232	3438	3.193	493.03	6973204.7	20470.8
K379_PR013_CD3	tumour_immune	tumour_immune	Image	Polygon	2370.9	1984.8	107670	104232	3438	3.193	493.03	6973204.7	20470.8
K379_PR013_CD3	aggregates	aggregates	Image	Polygon	2370.9	1984.8	107670	104232	3438	3.193	493.03	6973204.7	20470.8
K379_PR014_CD3	tumour_immune	tumour_immune	Image	Geometry	1784.7	1984.1	54950	49484	5466	9.947	1241.2	4403644.8	14045.3
K379_PR014_CD3	Tissue_area	Tissue_area	Image	Geometry	1784.7	1984.1	54950	49484	5466	9.947	1241.2	4403644.8	14045.3
K379_PR014_CD3	aggregates	aggregates	Image	Geometry	1784.7	1984.1	54950	49484	5466	9.947	1241.2	4403644.8	14045.3
K379_PR015_CD3	Tissue_area	Tissue_area	Image	Geometry	1530.6	1819.2	21500	21022	478	2.223	87.85	5440905.5	11955.9
K379_PR015_CD3	Non-tumour tissue	Non-tumour tissue	Image	Geometry	1530.6	1819.2	21500	21022	478	2.223	87.85	5440905.5	11955.9
K379_PR016_CD3	Tissue_area	Tissue_area	Image	Geometry	1775.2	1892.2	45249	37856	7393	16.34	1239.5	5964466.9	16705.5
K379_PR016_CD3	Fibrosis	Fibrosis	Tissue_area	Geometry	2301.7	1948.2	7483	6381	1102	14.73	332.04	3318926.4	12249
K379_PR016_CD3	peri-tumoural_immune	peri-tumoural_immune	Fibrosis	Geometry	1947.9	1723	4604	3915	689	14.97	398.8	1727681.3	11732.8
K379_PR016_CD3	tumour_immune	tumour_immune	Image	Geometry	1114.6	1821.9	37766	31475	6291	16.66	2378	2645540.6	18127.2
K379_PR016_CD3	diffuse	diffuse	Image	Geometry	1114.6	1821.9	37766	31475	6291	16.66	2378	2645540.6	18127.2
K379_PR017_CD3	Tissue_area	Tissue_area	Image	Polygon	1458.6	1252.7	57636	53248	4388	7.613	1138.1	3855710.7	11934
K379_PR017_CD3	peri-tumoural_immune	peri-tumoural_immune	Tissue_area	Geometry	1466	1206.2	7896	7406	490	6.206	795.32	616105.6	9557.3
K379_PR017_CD3	tumour_immune	tumour_immune	Image	Geometry	1457.2	1261.5	49740	45842	3898	7.837	1203.2	3239605.1	19722.4
K379_PR017_CD3	aggregates	aggregates	Image	Geometry	1457.2	1261.5	49740	45842	3898	7.837	1203.2	3239605.1	19722.4
K379_PR017_CD3	Fibrosis	Fibrosis	Image	Geometry	1466	1206.2	7896	7406	490	6.206	795.32	616105.6	9557.3
K379_PR018_CD3	tumour_immune	tumour_immune	Image	Geometry	2434.4	4172	196082	176216	19866	10.13	1320.3	15046821.1	32175
K379_PR018_CD3	Tissue_area	Tissue_area	Image	Geometry	2434.4	4172	196082	176216	19866	10.13	1320.3	15046821.1	32175
K379_PR018_CD3	aggregates	aggregates	Image	Geometry	2434.4	4172	196082	176216	19866	10.13	1320.3	15046821.1	32175
K379_PR019_CD3	tumour_immune	tumour_immune	Image	Geometry	2310.7	3150.2	47440	45308	2132	4.494	466.18	4573338	32791.8
K379_PR019_CD3	Tissue_area	Tissue_area	Image	Geometry	2272	2825.1	54607	52124	2483	4.547	379.17	6548584.9	29700
K379_PR019_CD3	Fibrosis	Fibrosis	Tissue_area	Geometry	2182.3	2072.5	7167	6816	351	4.897	177.7	1975247	18469.1
K379_PR019_CD3	peri-tumoural_immune	peri-tumoural_immune	Fibrosis	Geometry	2241	2017.5	5259	5016	243	4.621	157.75	1540408.5	19561
K379_PR019_CD3	diffuse	diffuse	Image	Geometry	2310.7	3150.2	47440	45308	2132	4.494	466.18	4573338	32791.8
K379_PR020_CD3	tumour_immune	tumour_immune	Image	Geometry	2078.4	2631.8	166956	143806	23150	13.87	1735.2	13341402.7	21369.1
K379_PR020_CD3	Tissue_area	Tissue_area	Image	Geometry	2078.4	2631.8	166956	143806	23150	13.87	1735.2	13341402.7	21369.1
K379_PR020_CD3	aggregates	aggregates	Image	Geometry	2078.4	2631.8	166956	143806	23150	13.87	1735.2	13341402.7	21369.1
K379_PR021_CD3	Tissue_area	Tissue_area	Image	Polygon	2372.8	2503.6	187593	154193	33400	17.8	2400.5	13913978.8	17475.1
K379_PR021_CD3	peri-tumoural_immune	peri-tumoural_immune	Tissue_area	Geometry	2731	2222	20251	16358	3893	19.22	1343.2	2898358.7	19970
K379_PR021_CD3	tumour_immune	tumour_immune	Image	Geometry	2278.5	2577.7	167342	137835	29507	17.63	2678.7	11015620.2	33792.1
K379_PR021_CD3	hot spots	hot spots	Image	Geometry	2278.5	2577.7	167342	137835	29507	17.63	2678.7	11015620.2	33792.1
K379_PR021_CD3	Fibrosis	Fibrosis	Image	Geometry	2731	2222	20251	16358	3893	19.22	1343.2	2898358.7	19970
K379_PR022_CD3	Tissue_area	Tissue_area	Image	Geometry	1964.8	1998.9	105370	88429	16941	16.08	1773.6	9551689.4	19101.8
K379_PR022_CD3	peri-tumoural_immune	peri-tumoural_immune	Tissue_area	Geometry	2399.4	2274.1	5535	4184	1351	24.41	872.09	1549152.3	20585
K379_PR022_CD3	hot spots	hot spots	Image	Geometry	1880.7	1945.7	99835	84245	15590	15.62	1948.1	8002537.1	39686.9
K379_PR022_CD3	Fibrosis	Fibrosis	Image	Geometry	2399.4	2274.1	5535	4184	1351	24.41	872.09	1549152.3	20585
K379_PR022_CD3	tumour_immune	tumour_immune	Image	Geometry	1880.7	1945.7	99835	84245	15590	15.62	1948.1	8002537.1	39686.9
